Name,Genres,Studios,Synopsis,Score
Bleach,"Action, Adventure, Fantasy",Pierrot,"Ichigo Kurosaki is an ordinary high schooler—until his family is attacked by a Hollow, a corrupt spirit that seeks to devour human souls. It is then that he meets a Soul Reaper named Rukia Kuchiki, who gets injured while protecting Ichigo's family from the assailant. To save his family, Ichigo accepts Rukia's offer of taking her powers and becomes a Soul Reaper as a result.

However, as Rukia is unable to regain her powers, Ichigo is given the daunting task of hunting down the Hollows that plague their town. However, he is not alone in his fight, as he is later joined by his friends—classmates Orihime Inoue, Yasutora Sado, and Uryuu Ishida—who each have their own unique abilities. As Ichigo and his comrades get used to their new duties and support each other on and off the battlefield, the young Soul Reaper soon learns that the Hollows are not the only real threat to the human world.",7.92
Keroro Gunsou,"Comedy, Sci-Fi",Sunrise,"It is the year 2004 AD, and pandemonium breaks as a mysterious frog-like alien race fills the sky with UFOs—or so 12-year-old Fuyuki Hinata dreams. Coincidentally, Sergeant Keroro, leader of a preliminary squad for the Keronian invasion of Pekopon—the alien name for Earth—begins his mission by invading Fuyuki's home. After subduing the boy and his sister, Keroro plans to reunite with his comrades and return to the mothership to repair his invaluable invasion device, the Kero Ball. Unfortunately, he receives word that headquarters has abandoned his unit's retrieval due to an unprecedented issue that forced the rest of the Keronians to flee. 

Consequently, Keroro is forced to stay at the Hinata residence together with the friendly, starry-eyed Fuyuki; his athletic, short-tempered sister Natsumi; and their hardworking, attractive mother Aki. Now stuck until further notice, Keroro and his platoon spend each day plotting world domination, but are thwarted each and every time by various unexpected factors. Nevertheless, as they live alongside humans, they learn to treat them as friends and allies, forming comedic yet meaningful connections that make their lives on Earth worthwhile.",7.69
Hellsing Ultimate,"Action, Horror, Supernatural","Madhouse, Satelight, Graphinica","There exist creatures of darkness and evil that plague the night, devouring any human unfortunate enough to be caught in their grasp. On the other side is Hellsing, an organization dedicated to destroying these supernatural forces that threaten the very existence of humanity. At its head is Integra Fairbrook Wingates Hellsing, who commands a powerful military and spends her life fighting the undead.

Integra's vast army, however, pales in comparison with her ultimate weapon: the vampire Alucard, who works against his own kind as an exterminator for Hellsing. With his new vampire servant, Seras Victoria, at his side, Alucard must battle not only monsters, but all those who stand to oppose Hellsing, be they in the guise of good or evil.

In a battle for mankind's survival, Hellsing Ultimate proves that appearances are not all they may seem, and sometimes the greatest weapon can come in the form of one's worst nightmare.",8.35
Gintama,"Action, Comedy, Sci-Fi",Sunrise,"Edo is a city that was home to the vigor and ambition of samurai across the country. However, following feudal Japan's surrender to powerful aliens known as the ""Amanto,"" those aspirations now seem unachievable. With the once-influential shogunate rebuilt as a puppet government, a new law is passed that promptly prohibits all swords in public. 

Enter Gintoki Sakata, an eccentric silver-haired man who always carries around a wooden sword and maintains his stature as a samurai despite the ban. As the founder of Yorozuya, a small business for odd jobs, Gintoki often embarks on endeavors to help other people—though usually in rather strange and unforeseen ways. 

Assisted by Shinpachi Shimura, a boy with glasses supposedly learning the way of the samurai; Kagura, a tomboyish girl with superhuman strength and an endless appetite; and Sadaharu, their giant pet dog who loves biting on people's heads, the Yorozuya encounter anything from alien royalty to scuffles with local gangs in the ever-changing world of Edo.",8.94
Black Jack,"Drama, Mystery, Suspense",Tezuka Productions,"Kuroo Hazama, also known as ""Black Jack,"" is a legend in the medical world. Famous for being one of the best, as well as not having a license, Hazama and his assistant Pinoko save countless lives that other doctors cannot... for a price; an exorbitant price, in fact, which causes many to view the genius as greedy and heartless. Despite these claims, however, none can deny his skill and the lengths that he will go to treat his patients. This dark medical drama tells the story of the ominous and mysterious world of underground medicine as Black Jack risks his life to cure some of the most bizarre diseases imaginable, even if it means breaking every law in the process.",7.73
Pokemon Diamond & Pearl,"Action, Adventure, Comedy, Fantasy",OLM,"Following the end of Satoshi's Hoenn journey, he travels to the Sinnoh region for his next adventure en route to becoming a Pokémon Master. Immediately upon arrival, Team Rocket makes another attempt to snatch Pikachu, only for it to fail once again. However, Pikachu has fallen deep into a forest and it's up to Satoshi to find him! Along the way, he reunites with Takeshi—a Pokémon breeder with whom he has traveled through many regions—and meets his soon-to-be rival, Shinji, a power-hungry trainer who cares little for his Pokémons' feelings.

Still in search for Pikachu, Satoshi notices a powerful electric attack in the distance and heads toward it to find Pikachu with Team Rocket and Hikari—a novice trainer aiming to be the top Pokémon coordinator. After foiling Team Rocket's plans, Satoshi reunites with Pikachu and Hikari joins the group. And thus, Ash and his friends begin their journey through the exciting land of Sinnoh.",7.26
Katekyo Hitman Reborn!,"Action, Comedy",Artland,"There is no putting it lightly—Tsunayoshi Sawada is just no good. He is clumsy, talentless, and desperately in love with the school idol Kyouko Sasagawa, a girl so completely out of his league. Dubbed ""Loser Tsuna"" by his classmates, he seems to be the very personification of failure in the guise of a middle-schooler.

Tsuna's boring life takes an extraordinary twist when he encounters the mysterious Reborn, who happens to be a hitman... and shockingly, a baby! Sent from the strongest Mafia family in Italy, Reborn is assigned the daunting mission of preparing the dull middle schooler to succeed the ninth boss of the notorious Vongola family, who is on the brink of retirement. The dull boy has a grueling road ahead, but with the help of his new criminal affiliates and his peculiar home tutor, perhaps even Loser Tsuna can achieve greatness.",8.13
Naruto: Shippuuden,"Action, Adventure, Fantasy",Pierrot,"It has been two and a half years since Naruto Uzumaki left Konohagakure, the Hidden Leaf Village, for intense training following events which fueled his desire to be stronger. Now Akatsuki, the mysterious organization of elite rogue ninja, is closing in on their grand plan which may threaten the safety of the entire shinobi world.
 
Although Naruto is older and sinister events loom on the horizon, he has changed little in personality—still rambunctious and childish—though he is now far more confident and possesses an even greater determination to protect his friends and home. Come whatever may, Naruto will carry on with the fight for what is important to him, even at the expense of his own body, in the continuation of the saga about the boy who wishes to become Hokage.",8.26
Kodomo no Jikan OVA,"Comedy, Ecchi",Diomedéa,"A series of OVA episodes released with the limited edition manga volumes.

Episode 01: What You Gave Me (Anata ga Watashi ni Kureta Mono)
Kokonoe, Usa, and Kagami go shopping for a present for Sensei. Eventually Kokonoe decides to make one and they all end up spending the night at her house. Along the way we learn more about Usa's love for Reiji, Kagami's love for Kokonoe, and Kokonoe's love for Sensei. 

Episode 02: Kuro-chan, Shiro-chan (Kuro-chan to Shiro-chan)
Kuro-chan tries to become friends with Shirai-sensei.

Episode 03: A Child's Summer Time (Kodomo no Natsu Jikan)
The girls, Aoki and Houin go into the country to visit Aoki's family.",7.03
Stringendo: Angel-tachi no Private Lesson,Hentai,"Flavors Soft, Maboroshi Koubou","Story about how each popular girls in high school ended up having sex with some of the less popular guys. Each of them have their own temptation for desire and lust which they could not control - that is Sex.

(Source: ANN)",7.35
Utawarerumono OVA,"Action, Comedy, Fantasy",Chaos Project,"A three part OVA of Utawarerumono. The animation work will be done by the same staff that did the opening of the game the show was based on. The story will cover parts that weren't shown in the anime series. 

(Source: Moon Phase)",7.18
Evangelion: 3.0 You Can (Not) Redo,"Action, Award Winning, Drama, Sci-Fi",Khara,"Fourteen years after the Third Impact, the Earth is a post-apocalyptic wasteland, human civilization is in ruins, and the people Shinji Ikari knows are almost unrecognizable. Trapped inside Evangelion Unit-01, he is recovered from space by Asuka Langley Shikinami and Mari Illustrious Makinami, only to find himself a prisoner of WILLE, a military faction led by his former guardian Misato Katsuragi. Cold and bitter, his former allies view him with suspicion and refuse to support him as he comes to terms with the consequences of his actions.

A hurt and confused Shinji is rescued from WILLE by Rei Ayanami and returned to NERV headquarters. There, he meets and quickly befriends the enigmatic Kaworu Nagisa, who offers him warmth and insight into the state of NERV's war with the Angels. But Shinji and Kaworu's brief respite lies on the eve of a new battle, one in which Shinji finds that his enemies are no longer Angels but former comrades. In this bitter confrontation to determine the future of the world, Shinji will learn first-hand that the past truly cannot be undone.",7.64
Evangelion: 3.0+1.0 Thrice Upon a Time,"Action, Award Winning, Drama, Sci-Fi, Suspense",Khara,"Following NERV's failed attempt to retrieve the Spears of Longinus and carry out the Human Instrumentality Project, the destruction caused by the Fourth Impact has been largely averted. In a state of disarray, Shinji Ikari, Asuka Langley Shikinami, and Rei Ayanami travel to Village 3—a survivor settlement free from Earth's ruination. There, Shinji slowly comes to terms with his past, developing an entirely different life from his days as an Evangelion pilot.

Meanwhile, NERV makes preparations to continue the Instrumentality Project by means of a new Impact. When WILLE's main aerial battleship arrives at the village, Shinji decides to board, believing that he can help by piloting an Evangelion. As new secrets are uncovered and a battle between WILLE and NERV approaches, the future of Earth hangs in the balance. Can Shinji save humanity and the rest of the world one last time?",8.61
Kafun Shoujo Chuuihou! The Animation,Hentai,"T-Rex, Space-X","As the season changes to spring and flowers begin to bloom, there is one thing humanity looks toward in dread. Yes, the ever troublesome pollen allergy season has come to defile its victims once more, but it's not their noses that are being blown.
 
Through the miracles of evolution, the reproductive process of plants no longer yield the tiny yellow grains that stimulate the nose. Instead, they now produce beautiful girls and boys that float joyfully through the air, stimulating other areas of the body instead, whether willing or not. Moans of ecstasy and frenzy reverberate across the world from those desperate to seek relief from their relief.
 
Although the streets run white with bodily fluids, people are far from relieved of their sexual troubles; fortunately, it is the perfect time to search for solutions! Inspiration can be found around every corner as encounters with the pollinic beings expose both hidden feelings and alluring physicality. Regardless of the climax that each person reaches, one thing is for sure—no amount of tissues will be enough for this allergy season.",7.04
Yu☆Gi☆Oh! 5D's,Action,Gallop,"Yuusei Fudou is out to get back what was stolen from him.

The world of dueling has evolved, with Riding Duels becoming the peak of entertainment for the residents of Neo Domino City. They are played on D-Wheels, a hybrid between Duel Disks and motorbikes. After the mechanically skilled Yuusei managed to build his own D-Wheel, his former friend Jack Atlas stole it alongside Yuusei's best card, Stardust Dragon; ditching their decrepit hometown of Satellite, he escaped to Neo Domino City.

In the two years since then, Jack has risen to the top of the dueling world, while Yuusei has been making preparations thanks to the help of his friends. With his new D-Wheel finished, he now sets off to Neo Domino City, his only goal to find Jack. Unbeknownst to either of them, there are far bigger things at stake than they can imagine, with puppeteers pulling the strings behind the scenes.",7.44
Trigun: Badlands Rumble,"Action, Adventure, Sci-Fi",Madhouse,"Vash the Stampede is a contradiction. He has a notorious reputation as ""The Humanoid Typhoon,"" laying anything he comes across to waste on the desolate planet of Gunsmoke. However, Vash is in fact very non-confrontational and kind-hearted, living by a code of pacifism.

Twenty years ago, a high-profile bank heist went sour. The ringleader, Gasback Gallon Getaway, swore to get back at his backstabbing crew and the man who stopped him from killing them: Vash the Stampede. In the present day, the traitorous crew has been living the good life as successful entrepreneurs and politicians. Although two decades have passed, Gasback's bitterness has not waned as he aims to take them down one by one, by any means necessary. 

Just in time to foil Gasback's plot, Vash has arrived in Macca City. Teaming up with the mysterious Amelia Ann McFly, along with the insurance agents Milly Thompson and Meryl Stryfe, Vash is ready to rumble.",7.92
Fuyu no Sonata,"Drama, Romance","Studio Comet, KeyEast, REALTHING","Based on the Korean Drama of the same name, Yoo Jin falls in love with Joon Sang as a young girl. After losing him in an accident, she decides to marry her childhood friend. However, Yoo Jin meets someone looking exactly like her lost love, putting her in a bind.  The program featured 23 members of the original Korean cast voicing the characters and was broadcast with Japanese subtitles. In the prequel, Tom Komikeu (코믹톰) performed the ending song.",7.26
Black Lagoon: Roberta's Blood Trail,Action,Madhouse,"Crime never sleeps in Roanapur, and neither does Roberta—a devoted maid and skilled guerilla soldier in service to the Venezuelan Lovelace family. After the assassination of her superior by the US Secret Service, Roberta returns to the city of debauchery in search of vengeance and his killer's head.

Meanwhile, young Fernando Garcia Lovelace, the new heir to his father's estate, tails Roberta to Thailand alongside his bodyguard, Fabiola Iglesias. He enlists the help of the Lagoon Company, with the objective of deterring Roberta's warpath and bringing her back to the family. However, with the continued bloodshed and mounting tensions between Roberta, island crime factions, and the US military, it will take a significant amount of strategy—and weaponry—to stop her relentless quest for revenge.",8.02
Mahou Shoujo Lyrical Nanoha: The Movie 1st,"Action, Comedy, Drama, Sci-Fi",Seven Arcs,"Nanoha Takamachi, an ordinary third-grader, loves her family and friends more than anything else. One day, after having a strange dream in which a ferret gets injured, she sees the very same ferret in real life and rescues it. That ferret turns out to be Yuuno Scrya, a mage from another world who is trying to capture the 21 scattered Jewel Seeds before they cause serious damage to the universe. Yuuno is not powerful enough to capture the Jewel seeds on his own, so he grants Nanoha the intelligent device ""Raising Heart"" and begins training her as a mage.  

Unfortunately, the powerful Jewel Seeds attract those with ill intentions. Another mage, Fate Testarossa, is desperate to collect the seeds for some unknown and sinister purpose, though the solemn look in her eyes makes Nanoha think that there is more to Fate than meets the eye. Mahou Shoujo Lyrical Nanoha: The Movie 1st is a retelling of the original series, which tells the story of two young mages and how their strong emotions shape their actions.",7.87
Cobra The Animation,"Action, Adventure, Sci-Fi",Magic Bus,"This Cobra adaptation features short arcs of Cobra saving the world, his friends or himself.",7.06
Hetalia Axis Powers,Comedy,Studio Deen,"In a tumultuous era of World Wars and general uncertainty for the future, Germany did not expect that his only constant allies would be North Italy and Japan. Despite being a descendant of the once-powerful Ancient Rome, North Italy is weak, useless, and overly in love with pasta. In contrast, Japan is reliable and pragmatic, but has strange obsessions that would bewilder anyone. Believing he drew the short end of the straw, Germany must think of a way to make this unlikely alliance work.

To rub salt into the wound, the chaotic Allied Forces arrive, determined to stop the Axis Powers in their tracks. While they all share a common goal, none of the Allies can set aside their centuries of differences to fight as a cohesive front. As conflicts continue, these personified nations act out the events of World Wars I and II in a comedic and entertaining manner.",7.27
Bakemonogatari,"Mystery, Romance, Supernatural",Shaft,"Koyomi Araragi, a third-year high school student, manages to survive a vampire attack with the help of Meme Oshino, a strange man residing in an abandoned building. Though being saved from vampirism and now a human again, several side effects such as superhuman healing abilities and enhanced vision still remain. Regardless, Araragi tries to live the life of a normal student, with the help of his friend and the class president, Tsubasa Hanekawa.

When fellow classmate Hitagi Senjougahara falls down the stairs and is caught by Araragi, the boy realizes that the girl is unnaturally weightless. Despite Senjougahara's protests, Araragi insists he help her, deciding to enlist the aid of Oshino, the very man who had once helped him with his own predicament.

Through several tales involving demons and gods, Bakemonogatari follows Araragi as he attempts to help those who suffer from supernatural maladies.",8.33
Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy",Bones,"After a horrific alchemy experiment goes wrong in the Elric household, brothers Edward and Alphonse are left in a catastrophic new reality. Ignoring the alchemical principle banning human transmutation, the boys attempted to bring their recently deceased mother back to life. Instead, they suffered brutal personal loss: Alphonse's body disintegrated while Edward lost a leg and then sacrificed an arm to keep Alphonse's soul in the physical realm by binding it to a hulking suit of armor.

The brothers are rescued by their neighbor Pinako Rockbell and her granddaughter Winry. Known as a bio-mechanical engineering prodigy, Winry creates prosthetic limbs for Edward by utilizing ""automail,"" a tough, versatile metal used in robots and combat armor. After years of training, the Elric brothers set off on a quest to restore their bodies by locating the Philosopher's Stone—a powerful gem that allows an alchemist to defy the traditional laws of Equivalent Exchange.

As Edward becomes an infamous alchemist and gains the nickname ""Fullmetal,"" the boys' journey embroils them in a growing conspiracy that threatens the fate of the world.",9.1
Inazuma Eleven,Sports,OLM,"While other schools in Japan compete for the title of being the best soccer team in the country, Raimon Middle School's soccer club, Inazuma Eleven, struggles to rise from the verge of being disbanded. The grandson of Inazuma Eleven's first generation goalkeeper and captain of the team, Mamoru Endou, takes the challenge of kicking the long neglected club back into shape. To do this, he'll need a little help and more than a little luck.

Mamoru Endou finds hope in the hands of Shuuya Gouenji, a brilliant young player who has given up on soccer. Mamoru is determined to get Shuuya and other new recruits to join his team, no matter what the cost. Is his passion and determination enough to treat the ailing club? Or is there no more hope for the team?",7.69
