Name,Genres,Studios,Synopsis,Score,Image URL
Attack on Titan,"Action, Drama, Fantasy",Wit Studio,Humans fight against giant creatures known as Titans.,8.9,https://cdn.myanimelist.net/images/anime/10/47347.jpg
Demon Slayer,"Action, Supernatural",ufotable,A boy becomes a demon slayer after his family is slaughtered.,8.6,https://cdn.myanimelist.net/images/anime/1286/99889.jpg
Jujutsu Kaisen,"Action, Supernatural, School",MAPPA,A high school student becomes host to a powerful curse.,8.7,https://cdn.myanimelist.net/images/anime/1171/109222.jpg
My Hero Academia,"Action, Comedy, Super Power",Bones,A boy without powers enrolls in a hero academy.,8,https://cdn.myanimelist.net/images/anime/10/78745.jpg
Tokyo Revengers,"Action, Drama, Supernatural",LIDENFILMS,A man travels back in time to save his ex-girlfriend.,8.1,https://www.nautiljon.com/images/more/02/76/238367.webp
Solo Leveling,"Action, Fantasy, Supernatural",A-1 Pictures,A weak hunter becomes the strongest by leveling up in a mysterious dungeon.,8.5,"https://m.media-amazon.com/images/I/811qwtjnRKL._AC_UF894,1000_QL80_.jpg"
Chainsaw Man,"Action, Horror, Supernatural",MAPPA,Denji merges with his pet devil and becomes Chainsaw Man to fight other devils.,8.4,https://cdn.myanimelist.net/images/anime/1806/126216.jpg
Vinland Saga,"Action, Drama, Historical",Wit Studio,A young warrior seeks revenge against his father's killer in Viking-era Europe.,8.8,https://cdn.myanimelist.net/images/anime/1506/103005.jpg
Spy x Family,"Action, Comedy, Slice of Life","Wit Studio, CloverWorks","A spy must build a fake family to complete his mission, but his wife and child have secrets of their own.",8.7,https://cdn.myanimelist.net/images/anime/1441/122795.jpg
Blue Lock,"Sports, Psychological, Drama",8bit,Japan initiates a brutal training program to produce the best striker for the national soccer team.,8.4,https://cdn.myanimelist.net/images/anime/1087/126012.jpg
Ousama Ranking,"Fantasy, Drama",Wit Studio,A deaf and powerless prince aspires to become the world's greatest king.,8.7,https://static.wikia.nocookie.net/ousamaranking/images/2/2f/FZJ7OFZaUAENPW5.jpg/revision/latest?cb=20220811041819
Dr. Stone,"Sci-Fi, Adventure",TMS Entertainment,"After humanity turns to stone, a genius boy rebuilds civilization with science.",8.2,https://static0.gamerantimages.com/wordpress/wp-content/uploads/sharedimages/2024/09/dr-stone-2019.jpg
Mashle: Magic and Muscles,"Action, Comedy, Fantasy",A-1 Pictures,"In a world of magic, a boy without powers punches his way through magic school.",7.7,https://upload.wikimedia.org/wikipedia/en/1/17/Mashle%2C_volume_1_cover.jpg
Hell's Paradise,"Action, Supernatural",MAPPA,A ninja condemned to death joins an expedition to a mysterious island in search of the Elixir of Life.,8.3,https://cdn.myanimelist.net/images/anime/1142/135326.jpg
Re:Zero,"Drama, Fantasy, Thriller",White Fox,A boy is transported to another world and discovers he revives after death.,8.3,https://cdn.myanimelist.net/images/anime/11/79410.jpg
Classroom of the Elite,"Drama, Psychological, School",Lerche,Students in an elite school face psychological battles for power and prestige.,7.8,https://m.media-amazon.com/images/M/MV5BY2U2NWU5MzMtOGY5Ni00MGI5LWFkZDYtMGNlN2RhMGRhNGZkXkEyXkFqcGc@._V1_.jpg
Erased,"Mystery, Psychological, Supernatural",A-1 Pictures,A man travels back in time to prevent the murder of his classmate.,8.4,https://cdn.myanimelist.net/images/anime/10/77957.jpg
Noragami,"Action, Supernatural",Bones,A minor god with no shrine helps a girl stuck between life and death.,8,https://cdn.myanimelist.net/images/anime/5073/117091.jpg
Fire Force,"Action, Supernatural",David Production,Special firefighters combat people who spontaneously combust.,7.7,https://cdn.myanimelist.net/images/anime/1533/102944.jpg
Mob Psycho 100,"Action, Comedy, Supernatural",Bones,A psychic boy tries to live a normal life while controlling his powers.,8.5,https://cdn.myanimelist.net/images/anime/1825/122958.jpg
teins;Gate,"Sci-Fi, Drama, Thriller",White Fox,A group of friends invent a device to send messages to the past.,9.1,https://cdn.myanimelist.net/images/anime/5/73199.jpg
The Promised Neverland (S1),"Mystery, Thriller",CloverWorks,Children in an orphanage uncover a horrific secret and plan their escape.,8.5,https://cdn.myanimelist.net/images/anime/1122/96757.jpg
Akudama Drive,"Action, Sci-Fi",Pierrot,"In a cyberpunk world, criminals team up for a high-stakes mission.",7.6,https://upload.wikimedia.org/wikipedia/en/thumb/3/36/Akudama_Drive.jpg/220px-Akudama_Drive.jpg
Zom 100,"Comedy, Horror, Supernatural",Bug Films,A salaryman enjoys life when a zombie apocalypse lets him escape work.,7.8,https://cdn.myanimelist.net/images/anime/1110/137557.jpg
Darling in the FranXX,"Action, Mecha, Romance","CloverWorks, Trigger",Teen pilots must fight monsters using mecha robots in a dystopian world.,7.2,https://cdn.myanimelist.net/images/anime/1183/90627.jpg
Toradora!,"Romance, Slice of Life",J.C.Staff,A boy and girl with crushes on each other's best friends team up to help each other.,8.2,https://cdn.myanimelist.net/images/anime/13/22128.jpg
Your Lie in April,"Drama, Music, Romance",A-1 Pictures,A piano prodigy finds new inspiration through a free-spirited violinist.,8.7,https://cdn.myanimelist.net/images/anime/3/67177.jpg
Kaguya-sama: Love is War,"Comedy, Psychological, Romance",A-1 Pictures,Two geniuses try to make the other confess their love first.,8.9,https://cdn.myanimelist.net/images/anime/1295/103451.jpg
Horimiya,"Romance, Slice of Life",CloverWorks,A popular girl and a shy boy bond over shared secrets.,8.3,https://cdn.myanimelist.net/images/anime/1813/110794.jpg
Komi Can't Communicate,"Comedy, Slice of Life",OLM,A girl with extreme social anxiety dreams of making 100 friends.,8.1,https://cdn.myanimelist.net/images/anime/1813/117433.jpg
Bocchi the Rock!,"Music, Slice of Life",CloverWorks,A shy guitarist joins a band and slowly opens up to the world.,8.8,https://cdn.myanimelist.net/images/anime/1591/126969.jpg
86,"Action, Drama, Mecha",A-1 Pictures,Discriminated soldiers fight a war for a country that denies their existence.,8.6,https://cdn.myanimelist.net/images/anime/1984/121388.jpg
